year,constituency,constituency_type,n_member,candidate,party,party_name,votes,votes_perc,rank,result
2011,Sembawang,GRC,5,Khaw Boon Wan| Ellen Lee Geck Hoon,PAP,People's Action Party,84252,63.9,1,won
2011,Sembawang,GRC,5,Ong Teng Koon| Vikram Nair,PAP,People's Action Party,84252,63.9,1,won
2011,Sembawang,GRC,5,James Gomez,SDP,Singapore Democratic Party,47605,36.1,2,lost
2011,Sembawang,GRC,5,Luo Jie Jarrod,SDP,Singapore Democratic Party,47605,36.1,2,lost
2011,Sembawang,GRC,5,Mohd Isa,SDP,Singapore Democratic Party,47605,36.1,2,lost
2011,Sembawang,GRC,5,Sadasivam V,SDP,Singapore Democratic Party,47605,36.1,2,lost
2011,Sembawang,GRC,5,John Tan Liang Joo,SDP,Singapore Democratic Party,47605,36.1,2,lost
2011,Sengkang West,SMC,1,Lam Pin Min,PAP,People's Action Party,14689,58.11,1,won
2011,Sengkang West,SMC,1,Koh Choong Yong,WP,Workers' Party,10591,41.89,2,lost
2011,Tampines,GRC,5,Baey Yam Keng,PAP,People's Action Party,72728,57.22,1,won
2011,Tampines,GRC,5,Heng Swee Keat,PAP,People's Action Party,72728,57.22,1,won
2011,Tampines,GRC,5,Mah Bow Tan,PAP,People's Action Party,72728,57.22,1,won
2011,Tampines,GRC,5,Masagos Zulkifli Bmm,PAP,People's Action Party,72728,57.22,1,won
2011,Tampines,GRC,5,Irene Ng Phek Hoong,PAP,People's Action Party,72728,57.22,1,won
2011,Tampines,GRC,5,Fong Chin Leong,NSP,National Solidarity Party,54381,42.78,2,lost
2011,Tampines,GRC,5,Goh Keow Wah| Goh Meng Seng,NSP,National Solidarity Party,54381,42.78,2,lost
2011,Tampines,GRC,5,Raymond Lim Peng Ann,NSP,National Solidarity Party,54381,42.78,2,lost
2011,Tampines,GRC,5,Syafarin Bin Sarif,NSP,National Solidarity Party,54381,42.78,2,lost
2011,Tanjong Pagar,GRC,5,Chan Chun Sing,PAP,People's Action Party,0,,1,won_uncontested
2011,Tanjong Pagar,GRC,5,Chia Shi-Lu,PAP,People's Action Party,0,,1,won_uncontested
2011,Tanjong Pagar,GRC,5,Indranee Thurai Rajah,PAP,People's Action Party,0,,1,won_uncontested
2011,Tanjong Pagar,GRC,5,Lee Kuan Yew,PAP,People's Action Party,0,,1,won_uncontested
2011,Tanjong Pagar,GRC,5,Lily Tirtasana Neo,PAP,People's Action Party,0,,1,won_uncontested
2011,West Coast,GRC,5,Arthur Fong,PAP,People's Action Party,72563,66.57,1,won
2011,West Coast,GRC,5,Foo Mee Har,PAP,People's Action Party,72563,66.57,1,won
2011,West Coast,GRC,5,Lim Hng Kiang,PAP,People's Action Party,72563,66.57,1,won
2011,West Coast,GRC,5,S Iswaran,PAP,People's Action Party,72563,66.57,1,won
2011,West Coast,GRC,5,Lawrence Wong,PAP,People's Action Party,72563,66.57,1,won
2011,West Coast,GRC,5,Ho Soak Harn,RP,Reform Party,36443,33.43,2,lost
2011,West Coast,GRC,5,Kenneth Andrew Jeyaretnam,RP,Reform Party,36443,33.43,2,lost
2011,West Coast,GRC,5,Kumar S/O Appavoo,RP,Reform Party,36443,33.43,2,lost
2011,West Coast,GRC,5,Low Chiak Huan,RP,Reform Party,36443,33.43,2,lost
2011,West Coast,GRC,5,Zhu Lai Cheng,RP,Reform Party,36443,33.43,2,lost
2011,Whampoa,SMC,1,Heng Chee How,PAP,People's Action Party,13028,66.1,1,won
2011,Whampoa,SMC,1,Ken Sun,NSP,National Solidarity Party,6683,33.9,2,lost
2011,Yuhua,SMC,1,Grace Fu Hai Yien,PAP,People's Action Party,14093,66.86,1,won
2011,Yuhua,SMC,1,Teo Soh Lung,SDP,Singapore Democratic Party,6986,33.14,2,lost
2015,Aljunied,GRC,5,Chen Show Mao,WP,Workers' Party,70050,50.96,1,won
2015,Aljunied,GRC,5,Sylvia Lim,WP,Workers' Party,70050,50.96,1,won
2015,Aljunied,GRC,5,Low Thia Khiang,WP,Workers' Party,70050,50.96,1,won
2015,Aljunied,GRC,5,Md Faisal Bin Abdul Manap,WP,Workers' Party,70050,50.96,1,won
2015,Aljunied,GRC,5,Pritam Singh,WP,Workers' Party,70050,50.96,1,won
2015,Aljunied,GRC,5,Chau Eng Leong,PAP,People's Action Party,67424,49.04,2,lost
2015,Aljunied,GRC,5,K Muralidharan Pillai,PAP,People's Action Party,67424,49.04,2,lost
2015,Aljunied,GRC,5,Lye Thiam Fatt Joseph Victor,PAP,People's Action Party,67424,49.04,2,lost
2015,Aljunied,GRC,5,Shamsul Kamar Bin Mohamed Razali,PAP,People's Action Party,67424,49.04,2,lost
2015,Aljunied,GRC,5,Yeo Guat Kwang,PAP,People's Action Party,67424,49.04,2,lost
2015,Ang Mo Kio,GRC,6,Ang Hin Kee,PAP,People's Action Party,135316,78.64,1,won
2015,Ang Mo Kio,GRC,6,David Darryl Wilson,PAP,People's Action Party,135316,78.64,1,won
2015,Ang Mo Kio,GRC,6,Gan Thiam Poh,PAP,People's Action Party,135316,78.64,1,won
2015,Ang Mo Kio,GRC,6,Intan Azura Binte Mokhtar,PAP,People's Action Party,135316,78.64,1,won
2015,Ang Mo Kio,GRC,6,Koh Poh Koon| Lee Hsien Loong,PAP,People's Action Party,135316,78.64,1,won
2015,Ang Mo Kio,GRC,6,Goh Keow Wah,RP,Reform Party,36758,21.36,2,lost
2015,Ang Mo Kio,GRC,6,Jesse Loo Hoe Bock,RP,Reform Party,36758,21.36,2,lost
2015,Ang Mo Kio,GRC,6,Roy Ngerng Yi Ling,RP,Reform Party,36758,21.36,2,lost
2015,Ang Mo Kio,GRC,6,Osman Sulaiman,RP,Reform Party,36758,21.36,2,lost
2015,Ang Mo Kio,GRC,6,M Ravi,RP,Reform Party,36758,21.36,2,lost
2015,Ang Mo Kio,GRC,6,Siva Chandran,RP,Reform Party,36758,21.36,2,lost
2015,Bishan-Toa Payoh,GRC,5,Chee Hong Tat,PAP,People's Action Party,86701,73.59,1,won
2015,Bishan-Toa Payoh,GRC,5,Chong Kee Hiong,PAP,People's Action Party,86701,73.59,1,won
2015,Bishan-Toa Payoh,GRC,5,Ng Eng Hen,PAP,People's Action Party,86701,73.59,1,won
2015,Bishan-Toa Payoh,GRC,5,Saktiandi Bin Supaat,PAP,People's Action Party,86701,73.59,1,won
2015,Bishan-Toa Payoh,GRC,5,Josephine Teo,PAP,People's Action Party,86701,73.59,1,won
2015,Bishan-Toa Payoh,GRC,5,Law Kim Hwee,SPP,Singapore People's Party,31108,26.41,2,lost
2015,Bishan-Toa Payoh,GRC,5,"Long YaoGuang, Don Bryan",SPP,Singapore People's Party,31108,26.41,2,lost
2015,Bishan-Toa Payoh,GRC,5,Mohamad Abdillah Bin Zamzuri,SPP,Singapore People's Party,31108,26.41,2,lost
2015,Bishan-Toa Payoh,GRC,5,Mohamad Hamim Bin Aliyas,SPP,Singapore People's Party,31108,26.41,2,lost
2015,Bishan-Toa Payoh,GRC,5,Pwee Yek Kwan Benjamin,SPP,Singapore People's Party,31108,26.41,2,lost
2015,Bukit Batok,SMC,1,David Ong Kim Huat,PAP,People's Action Party,18234,73.02,1,won
2015,Bukit Batok,SMC,1,Sadasivam V,SDP,Singapore Democratic Party,6588,26.38,2,lost
2015,Bukit Batok,SMC,1,Samir Salim Neji,Independent,,150,0.6,3,lost_deposit
2015,Bukit Panjang,SMC,1,Teo Ho Pin,PAP,People's Action Party,21954,68.38,1,won
2015,Bukit Panjang,SMC,1,Khung Wai Yeen,SDP,Singapore Democratic Party,10152,31.62,2,lost
2015,Chua Chu Kang,GRC,4,Gan Kim Yong,PAP,People's Action Party,84850,76.91,1,won
2015,Chua Chu Kang,GRC,4,Low Yen Ling,PAP,People's Action Party,84850,76.91,1,won
2015,Chua Chu Kang,GRC,4,Yee Chia Hsing,PAP,People's Action Party,84850,76.91,1,won
2015,Chua Chu Kang,GRC,4,Zaqy Mohamad,PAP,People's Action Party,84850,76.91,1,won
2015,Chua Chu Kang,GRC,4,Goh Meng Seng,PPP,People's Power Party,25475,23.09,2,lost
2015,Chua Chu Kang,GRC,4,Lee Tze Shih,PPP,People's Power Party,25475,23.09,2,lost
2015,Chua Chu Kang,GRC,4,Low Wai Choo,PPP,People's Power Party,25475,23.09,2,lost
2015,Chua Chu Kang,GRC,4,Syafarin Bin Sarif,PPP,People's Power Party,25475,23.09,2,lost
2015,East Coast,GRC,4,Lee Yi Shyan,PAP,People's Action Party,55093,60.73,1,won
2015,East Coast,GRC,4,Lim Swee Say,PAP,People's Action Party,55093,60.73,1,won
2015,East Coast,GRC,4,Mohd Maliki Bin Osman| Tan Soon Neo Jessica,PAP,People's Action Party,55093,60.73,1,won
2015,East Coast,GRC,4,Gerald Giam Yean Song,WP,Workers' Party,35622,39.27,2,lost
2015,East Coast,GRC,4,Daniel Goh Pei Siong,WP,Workers' Party,35622,39.27,2,lost
2015,East Coast,GRC,4,Mohamed Fairoz Bin Shariff,WP,Workers' Party,35622,39.27,2,lost
2015,East Coast,GRC,4,Leon Perera,WP,Workers' Party,35622,39.27,2,lost
2015,Fengshan,SMC,1,Cheryl Chan Wei Ling,PAP,People's Action Party,12417,57.5,1,won
2015,Fengshan,SMC,1,Dennis Tan Lip Fong,WP,Workers' Party,9176,42.5,2,lost
2015,Holland-Bukit Timah,GRC,4,Christopher De Souza,PAP,People's Action Party,62786,66.6,1,won
2015,Holland-Bukit Timah,GRC,4,Liang Eng Hwa,PAP,People's Action Party,62786,66.6,1,won
2015,Holland-Bukit Timah,GRC,4,Sim Ann,PAP,People's Action Party,62786,66.6,1,won
2015,Holland-Bukit Timah,GRC,4,Vivian Balakrishnan,PAP,People's Action Party,62786,66.6,1,won
2015,Holland-Bukit Timah,GRC,4,Chee Soon Juan| Chong Wai Fung,SDP,Singapore Democratic Party,31494,33.4,2,lost
2015,Holland-Bukit Timah,GRC,4,Md Sidek Bin Mallek| Paul Anatharajah Tambyah,SDP,Singapore Democratic Party,31494,33.4,2,lost
2015,Hong Kah North,SMC,1,Amy Khor Lean Suan,PAP,People's Action Party,19628,74.76,1,won
2015,Hong Kah North,SMC,1,Ravi Philemon,SPP,Singapore People's Party,6627,25.24,2,lost
2015,Hougang,SMC,1,Png Eng Huat,WP,Workers' Party,13027,57.66,1,won
2015,Hougang,SMC,1,Lee Hong Chuang,PAP,People's Action Party,9565,42.34,2,lost
2015,Jalan Besar,GRC,4,Heng Chee How,PAP,People's Action Party,63644,67.75,1,won
2015,Jalan Besar,GRC,4,Lily Neo,PAP,People's Action Party,63644,67.75,1,won
2015,Jalan Besar,GRC,4,Denise Phua Lay Peng,PAP,People's Action Party,63644,67.75,1,won
2015,Jalan Besar,GRC,4,Yaacob Ibrahim,PAP,People's Action Party,63644,67.75,1,won
2015,Jalan Besar,GRC,4,Chan Sio Phing Frieda (Zeng Xiao Ping),WP,Workers' Party,30302,32.25,2,lost
2015,Jalan Besar,GRC,4,L Somasundaram,WP,Workers' Party,30302,32.25,2,lost
2015,Jalan Besar,GRC,4,Redzwan Hafidz Abdul Razak,WP,Workers' Party,30302,32.25,2,lost
2015,Jalan Besar,GRC,4,Sim Tian Hock (Shen TianFu),WP,Workers' Party,30302,32.25,2,lost
2015,Jurong,GRC,5,Ang Wei Neng,PAP,People's Action Party,95228,79.29,1,won
2015,Jurong,GRC,5,Desmond Lee,PAP,People's Action Party,95228,79.29,1,won
2015,Jurong,GRC,5,Rahayu Binte Mahzam,PAP,People's Action Party,95228,79.29,1,won
2015,Jurong,GRC,5,Tharman Shanmugaratnam,PAP,People's Action Party,95228,79.29,1,won
2015,Jurong,GRC,5,Tan Wu Meng,PAP,People's Action Party,95228,79.29,1,won
2015,Jurong,GRC,5,Foo Ming Jin David,SGF,Singaporeans First,24869,20.71,2,lost
2015,Jurong,GRC,5,Sukdeu Singh,SGF,Singaporeans First,24869,20.71,2,lost
2015,Jurong,GRC,5,Tan Peng Aann| Wong Chee Wai,SGF,Singaporeans First,24869,20.71,2,lost
2015,Jurong,GRC,5,Wong Soon Hong,SGF,Singaporeans First,24869,20.71,2,lost
2015,MacPherson,SMC,1,Tin Pei Ling,PAP,People's Action Party,17251,65.6,1,won
2015,MacPherson,SMC,1,Chen JiaXi,WP,Workers' Party,8833,33.59,2,lost
2015,MacPherson,SMC,1,Cheo Chai Chen,NSP,National Solidarity Party,215,0.82,3,lost_deposit
2015,Marine Parade,GRC,5,Fatimah Binte Abdul Lateef,PAP,People's Action Party,85138,64.07,1,won
2015,Marine Parade,GRC,5,Goh Chok Tong,PAP,People's Action Party,85138,64.07,1,won
2015,Marine Parade,GRC,5,Seah Kian Peng,PAP,People's Action Party,85138,64.07,1,won
2015,Marine Parade,GRC,5,Tan Chuan-Jin,PAP,People's Action Party,85138,64.07,1,won
2015,Marine Parade,GRC,5,Tong Chun Fai Edwin Charles,PAP,People's Action Party,85138,64.07,1,won
2015,Marine Parade,GRC,5,Firuz Khan,WP,Workers' Party,47753,35.93,2,lost
2015,Marine Parade,GRC,5,He Tingru,WP,Workers' Party,47753,35.93,2,lost
2015,Marine Parade,GRC,5,Ng Foo Eng,WP,Workers' Party,47753,35.93,2,lost
2015,Marine Parade,GRC,5,Terence Tan,WP,Workers' Party,47753,35.93,2,lost
2015,Marine Parade,GRC,5,Yee Jenn Jong,WP,Workers' Party,47753,35.93,2,lost
2015,Marsiling-Yew Tee,GRC,4,Halimah Yacob,PAP,People's Action Party,68546,68.73,1,won
2015,Marsiling-Yew Tee,GRC,4,Ong Teng Koon,PAP,People's Action Party,68546,68.73,1,won
2015,Marsiling-Yew Tee,GRC,4,Lawrence Wong,PAP,People's Action Party,68546,68.73,1,won
2015,Marsiling-Yew Tee,GRC,4,Alex Yam Ziming,PAP,People's Action Party,68546,68.73,1,won
2015,Marsiling-Yew Tee,GRC,4,Damanhuri Bin Abas,SDP,Singapore Democratic Party,31185,31.27,2,lost
2015,Marsiling-Yew Tee,GRC,4,Lim Boon Heng,SDP,Singapore Democratic Party,31185,31.27,2,lost
2015,Marsiling-Yew Tee,GRC,4,Tan Liang Joo John,SDP,Singapore Democratic Party,31185,31.27,2,lost
2015,Marsiling-Yew Tee,GRC,4,Wong Souk Yee,SDP,Singapore Democratic Party,31185,31.27,2,lost
2015,Mountbatten,SMC,1,Lim Biow Chuan,PAP,People's Action Party,15331,71.86,1,won
2015,Mountbatten,SMC,1,Jeannette Chong - Aruldoss,SPP,Singapore People's Party,6004,28.14,2,lost
2015,Nee Soon,GRC,5,K Shanmugam,PAP,People's Action Party,82287,66.83,1,won
2015,Nee Soon,GRC,5,Kwek Hian Chuan,PAP,People's Action Party,82287,66.83,1,won
2015,Nee Soon,GRC,5,Lee Bee Wah,PAP,People's Action Party,82287,66.83,1,won
2015,Nee Soon,GRC,5,Muhammad Faishal Ibrahim,PAP,People's Action Party,82287,66.83,1,won
2015,Nee Soon,GRC,5,Ng Kok Kwang Louis,PAP,People's Action Party,82287,66.83,1,won
2015,Nee Soon,GRC,5,Foo Seck Guan,WP,Workers' Party,40841,33.17,2,lost
2015,Nee Soon,GRC,5,Gurmit Singh S/O Sadhu Singh,WP,Workers' Party,40841,33.17,2,lost
2015,Nee Soon,GRC,5,Koh Tiong Yee,WP,Workers' Party,40841,33.17,2,lost
2015,Nee Soon,GRC,5,Cheryl Loh Xiu Wen,WP,Workers' Party,40841,33.17,2,lost
2015,Nee Soon,GRC,5,Ron Tan Jun Yen,WP,Workers' Party,40841,33.17,2,lost
2015,Pasir Ris-Punggol,GRC,6,Janil Puthucheary,PAP,People's Action Party,125166,72.89,1,won
2015,Pasir Ris-Punggol,GRC,6,Ng Chee Meng,PAP,People's Action Party,125166,72.89,1,won
2015,Pasir Ris-Punggol,GRC,6,Sun XueLing,PAP,People's Action Party,125166,72.89,1,won
2015,Pasir Ris-Punggol,GRC,6,Teo Chee Hean,PAP,People's Action Party,125166,72.89,1,won
2015,Pasir Ris-Punggol,GRC,6,Teo Ser Luck,PAP,People's Action Party,125166,72.89,1,won
2015,Pasir Ris-Punggol,GRC,6,Zainal Bin Sapari,PAP,People's Action Party,125166,72.89,1,won
2015,Pasir Ris-Punggol,GRC,6,Abu Bin Mohamed,SDA,Singapore Democratic Alliance,46550,27.11,2,lost
2015,Pasir Ris-Punggol,GRC,6,Harminder Pal Singh S/O Gurcharan Singh,SDA,Singapore Democratic Alliance,46550,27.11,2,lost
2015,Pasir Ris-Punggol,GRC,6,Lim Bak Chuan Desmond,SDA,Singapore Democratic Alliance,46550,27.11,2,lost
2015,Pasir Ris-Punggol,GRC,6,Lim Tung Hee Arthero,SDA,Singapore Democratic Alliance,46550,27.11,2,lost
2015,Pasir Ris-Punggol,GRC,6,Ong Teik Seng,SDA,Singapore Democratic Alliance,46550,27.11,2,lost
2015,Pasir Ris-Punggol,GRC,6,Wong Way Weng,SDA,Singapore Democratic Alliance,46550,27.11,2,lost
2015,Pioneer,SMC,1,Cedric Foo Chee Keng,PAP,People's Action Party,18017,76.35,1,won
2015,Pioneer,SMC,1,Ong Beng Soon Elvin,NSP,National Solidarity Party,5581,23.65,2,lost
2015,Potong Pasir,SMC,1,Sitoh Yih Pin,PAP,People's Action Party,10602,66.39,1,won
2015,Potong Pasir,SMC,1,Loh Woon Lee Lina,SPP,Singapore People's Party,5368,33.61,2,lost
2015,Punggol East,SMC,1,Charles Chong You Fook,PAP,People's Action Party,16977,51.77,1,won
2015,Punggol East,SMC,1,Lee Li Lian,WP,Workers' Party,15818,48.23,2,lost
2015,Radin Mas,SMC,1,Tan Chin Siong,PAP,People's Action Party,20246,77.25,1,won
2015,Radin Mas,SMC,1,Kumar S/O Appavoo,RP,Reform Party,3333,12.72,2,lost
2015,Radin Mas,SMC,1,Han Hui Hui,Independent,,2630,10.03,3,lost_deposit
2015,Sembawang,GRC,5,Amrin Amin,PAP,People's Action Party,96718,72.28,1,won
2015,Sembawang,GRC,5,Khaw Boon Wan,PAP,People's Action Party,96718,72.28,1,won
2015,Sembawang,GRC,5,Lim Wee Kiak,PAP,People's Action Party,96718,72.28,1,won
2015,Sembawang,GRC,5,Ong Ye Kung,PAP,People's Action Party,96718,72.28,1,won
2015,Sembawang,GRC,5,Vikram Nair,PAP,People's Action Party,96718,72.28,1,won
2015,Sembawang,GRC,5,Abdul Rasheed S/O Y Abdul Kuthus,NSP,National Solidarity Party,37087,27.72,2,lost
2015,Sembawang,GRC,5,Lim Tong Zhen| Ng Chung Hon,NSP,National Solidarity Party,37087,27.72,2,lost
2015,Sembawang,GRC,5,Yadzeth Bin Hairis,NSP,National Solidarity Party,37087,27.72,2,lost
2015,Sembawang,GRC,5,Yeo Ren-Yuan,NSP,National Solidarity Party,37087,27.72,2,lost
2015,Sengkang West,SMC,1,Lam Pin Min,PAP,People's Action Party,17586,62.13,1,won
2015,Sengkang West,SMC,1,Koh Choong Yong,WP,Workers' Party,10721,37.87,2,lost
2015,Tampines,GRC,5,Baey Yam Keng,PAP,People's Action Party,95305,72.07,1,won
2015,Tampines,GRC,5,Cheng Li Hui,PAP,People's Action Party,95305,72.07,1,won
2015,Tampines,GRC,5,Desmond Choo Pey Ching,PAP,People's Action Party,95305,72.07,1,won
2015,Tampines,GRC,5,Heng Swee Keat,PAP,People's Action Party,95305,72.07,1,won
2015,Tampines,GRC,5,Masagos Zulkifli,PAP,People's Action Party,95305,72.07,1,won
2015,Tampines,GRC,5,Choong Hon Heng,NSP,National Solidarity Party,36943,27.93,2,lost
2015,Tampines,GRC,5,Fong Chin Leong,NSP,National Solidarity Party,36943,27.93,2,lost
2015,Tampines,GRC,5,Lim Tean,NSP,National Solidarity Party,36943,27.93,2,lost
2015,Tampines,GRC,5,Nor Lella Mardiiiah Bte Mohmed,NSP,National Solidarity Party,36943,27.93,2,lost
2015,Tampines,GRC,5,Teo Kway Huang Sebastian,NSP,National Solidarity Party,36943,27.93,2,lost
2015,Tanjong Pagar,GRC,5,Chan Chun Sing,PAP,People's Action Party,90635,77.71,1,won
2015,Tanjong Pagar,GRC,5,Chia Shi-Lu,PAP,People's Action Party,90635,77.71,1,won
2015,Tanjong Pagar,GRC,5,Indranee Thurai Rajah,PAP,People's Action Party,90635,77.71,1,won
2015,Tanjong Pagar,GRC,5,Joan Pereira,PAP,People's Action Party,90635,77.71,1,won
2015,Tanjong Pagar,GRC,5,Melvin Yong Yik Chye,PAP,People's Action Party,90635,77.71,1,won
2015,Tanjong Pagar,GRC,5,Ang Yong Guan,SGF,Singaporeans First,25998,22.29,2,lost
2015,Tanjong Pagar,GRC,5,Chirag Praful Desai,SGF,Singaporeans First,25998,22.29,2,lost
2015,Tanjong Pagar,GRC,5,Chiu Weng Hoe Melvyn,SGF,Singaporeans First,25998,22.29,2,lost
2015,Tanjong Pagar,GRC,5,Mohamad Fahmi Bin Ahmad Rais,SGF,Singaporeans First,25998,22.29,2,lost
2015,Tanjong Pagar,GRC,5,Tan Jee Say,SGF,Singaporeans First,25998,22.29,2,lost
2015,West Coast,GRC,4,Foo Mee Har,PAP,People's Action Party,71214,78.57,1,won
2015,West Coast,GRC,4,Lim Hng Kiang,PAP,People's Action Party,71214,78.57,1,won
2015,West Coast,GRC,4,Siswaran,PAP,People's Action Party,71214,78.57,1,won
2015,West Coast,GRC,4,Patrick Tay Teck Guan,PAP,People's Action Party,71214,78.57,1,won
2015,West Coast,GRC,4,Kenneth Andrew Jeyaretnam,RP,Reform Party,19426,21.43,2,lost
2015,West Coast,GRC,4,Noraini Bte Yunus,RP,Reform Party,19426,21.43,2,lost
2015,West Coast,GRC,4,Soh Guan Soon,RP,Reform Party,19426,21.43,2,lost
2015,West Coast,GRC,4,Zhu LaiCheng,RP,Reform Party,19426,21.43,2,lost
2015,Yuhua,SMC,1,Grace Fu Hai Yien,PAP,People's Action Party,15324,73.55,1,won
2015,Yuhua,SMC,1,Go Hui Leng,SDP,Singapore Democratic Party,5512,26.45,2,lost
2020,Aljunied,GRC,5,Gerald Giam Yean Song,WP,Workers' Party,85815,59.95,1,won
2020,Aljunied,GRC,5,Sylvia Lim,WP,Workers' Party,85815,59.95,1,won
2020,Aljunied,GRC,5,Muhamad Faisal Bin Abdul Manap,WP,Workers' Party,85815,59.95,1,won
2020,Aljunied,GRC,5,Leon Perera,WP,Workers' Party,85815,59.95,1,won
2020,Aljunied,GRC,5,Pritam Singh,WP,Workers' Party,85815,59.95,1,won
2020,Aljunied,GRC,5,Chan Hui Yuh,PAP,People's Action Party,57330,40.05,2,lost
2020,Aljunied,GRC,5,Chua Eng Leong,PAP,People's Action Party,57330,40.05,2,lost
2020,Aljunied,GRC,5,Victor Lye Thiam Fatt,PAP,People's Action Party,57330,40.05,2,lost
2020,Aljunied,GRC,5,Shamsul Kamar Bin Mohamed Razali,PAP,People's Action Party,57330,40.05,2,lost
2020,Aljunied,GRC,5,Alex Yeo Sheng Chye,PAP,People's Action Party,57330,40.05,2,lost
2020,Ang Mo Kio,GRC,5,Darryl David,PAP,People's Action Party,124597,71.91,1,won
2020,Ang Mo Kio,GRC,5,Gan Thiam Poh,PAP,People's Action Party,124597,71.91,1,won
2020,Ang Mo Kio,GRC,5,Lee Hsien Loong,PAP,People's Action Party,124597,71.91,1,won
2020,Ang Mo Kio,GRC,5,Nadia Ahmad Samdin,PAP,People's Action Party,124597,71.91,1,won
2020,Ang Mo Kio,GRC,5,Ng Ling Ling,PAP,People's Action Party,124597,71.91,1,won
2020,Ang Mo Kio,GRC,5,Kenneth Andrew Jeyaretnam,RP,Reform Party,48677,28.09,2,lost
2020,Ang Mo Kio,GRC,5,Noraini Bte Yunus,RP,Reform Party,48677,28.09,2,lost
2020,Ang Mo Kio,GRC,5,Soh Guan Soon,RP,Reform Party,48677,28.09,2,lost
2020,Ang Mo Kio,GRC,5,"Yeo Yao Hui, Charles",RP,Reform Party,48677,28.09,2,lost
2020,Ang Mo Kio,GRC,5,Zhu Laicheng,RP,Reform Party,48677,28.09,2,lost
2020,Bishan-Toa Payoh,GRC,4,Chee Hong Tat,PAP,People's Action Party,62983,67.23,1,won
2020,Bishan-Toa Payoh,GRC,4,Chong Kee Hiong,PAP,People's Action Party,62983,67.23,1,won
2020,Bishan-Toa Payoh,GRC,4,Ng Eng Hen,PAP,People's Action Party,62983,67.23,1,won
2020,Bishan-Toa Payoh,GRC,4,Saktiandi Bin Supaat,PAP,People's Action Party,62983,67.23,1,won
2020,Bishan-Toa Payoh,GRC,4,Steve Chia,SPP,Singapore People's Party,30696,32.77,2,lost
2020,Bishan-Toa Payoh,GRC,4,Melvyn Chiu,SPP,Singapore People's Party,30696,32.77,2,lost
2020,Bishan-Toa Payoh,GRC,4,Williiamson Lee,SPP,Singapore People's Party,30696,32.77,2,lost
2020,Bishan-Toa Payoh,GRC,4,Osman Sulaiman,SPP,Singapore People's Party,30696,32.77,2,lost
2020,Bukit Batok,SMC,1,Murali Pillai,PAP,People's Action Party,15500,54.8,1,won
2020,Bukit Batok,SMC,1,Chee Soon Juan,SDP,Singapore Democratic Party,12787,45.2,2,lost
2020,Bukit Panjang,SMC,1,Liang Eng Hwa,PAP,People's Action Party,18085,53.73,1,won
2020,Bukit Panjang,SMC,1,Paul Ananth Tambyah,SDP,Singapore Democratic Party,15576,46.27,2,lost
2020,Chua Chu Kang,GRC,4,Gan Kim Yong,PAP,People's Action Party,59554,58.64,1,won
2020,Chua Chu Kang,GRC,4,Low Yen Ling,PAP,People's Action Party,59554,58.64,1,won
2020,Chua Chu Kang,GRC,4,Don Wee,PAP,People's Action Party,59554,58.64,1,won
2020,Chua Chu Kang,GRC,4,Zhulkarnain Abdul Rahim,PAP,People's Action Party,59554,58.64,1,won
2020,Chua Chu Kang,GRC,4,Abdul Rahman Bin Mohamad,PSP,Progress Singapore Party,42012,41.36,2,lost
2020,Chua Chu Kang,GRC,4,Choo Shaun Ming,PSP,Progress Singapore Party,42012,41.36,2,lost
2020,Chua Chu Kang,GRC,4,Tan Meng Wah,PSP,Progress Singapore Party,42012,41.36,2,lost
2020,Chua Chu Kang,GRC,4,Yuen Kin Pheng,PSP,Progress Singapore Party,42012,41.36,2,lost
2020,East Coast,GRC,5,Cheryl Chan Wei Ling,PAP,People's Action Party,61144,53.39,1,won
2020,East Coast,GRC,5,Heng Swee Keat,PAP,People's Action Party,61144,53.39,1,won
2020,East Coast,GRC,5,Mohd Maliki Bin Osman,PAP,People's Action Party,61144,53.39,1,won
2020,East Coast,GRC,5,Tan Kiat How,PAP,People's Action Party,61144,53.39,1,won
2020,East Coast,GRC,5,Tan Soon Neo Jessica,PAP,People's Action Party,61144,53.39,1,won
2020,East Coast,GRC,5,Abdul Shariff Aboo Kassim,WP,Workers' Party,53375,46.61,2,lost
2020,East Coast,GRC,5,Foo Seck Guan,WP,Workers' Party,53375,46.61,2,lost
2020,East Coast,GRC,5,Dylan Ng,WP,Workers' Party,53375,46.61,2,lost
2020,East Coast,GRC,5,Nicole Seah,WP,Workers' Party,53375,46.61,2,lost
2020,East Coast,GRC,5,Terence Tan Li-Chern,WP,Workers' Party,53375,46.61,2,lost
2020,Holland-Bukit Timah,GRC,4,Edward Chia Bing Hui,PAP,People's Action Party,71218,66.36,1,won
2020,Holland-Bukit Timah,GRC,4,De Souza Christopher,PAP,People's Action Party,71218,66.36,1,won
2020,Holland-Bukit Timah,GRC,4,Sim Ann,PAP,People's Action Party,71218,66.36,1,won
2020,Holland-Bukit Timah,GRC,4,Vivian Balakrishnan,PAP,People's Action Party,71218,66.36,1,won
2020,Holland-Bukit Timah,GRC,4,Min Cheong,SDP,Singapore Democratic Party,36100,33.64,2,lost
2020,Holland-Bukit Timah,GRC,4,James Gomez,SDP,Singapore Democratic Party,36100,33.64,2,lost
2020,Holland-Bukit Timah,GRC,4,Alfred Tan,SDP,Singapore Democratic Party,36100,33.64,2,lost
